TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed,slope,urban
1,0,1,1,Jewish,1039,3950,397,343,296,251,276,290,270,251,210,200,186,187,193,187,161,245,3441,0,1327,1327,663,123,0,621,215,0,1660,1,2
2,0,1,1,Jewish,706,1830,79,93,119,336,251,124,70,58,70,95,114,115,107,78,48,65,1612,0,623,623,311,55,0,257,0,416,699,1,2
3,0,1,1,Jewish,499,1162,35,41,53,60,358,242,31,26,31,42,51,51,48,35,21,29,4416,0,1759,1319,1319,16,0,117,0,0,521,1,2
4,0,1,1,Jewish,459,1057,77,71,64,54,61,67,62,61,55,54,47,44,50,58,67,156,4791,0,2864,1432,477,18,0,126,0,0,418,1,2
5,0,1,1,Jewish,608,2556,253,305,287,220,165,114,141,179,191,191,148,98,75,68,53,62,3176,0,1229,1229,614,102,0,717,0,0,1052,1,2
6,0,1,1,Jewish,292,672,49,45,40,34,38,42,39,39,35,34,30,28,32,37,43,99,1335,0,529,529,264,12,0,84,0,0,266,1,2
7,0,1,1,Jewish,678,2849,282,340,320,245,184,128,157,199,213,212,165,110,84,76,59,69,2793,0,810,1350,540,93,0,652,0,0,1172,1,2
8,0,1,1,Jewish,345,1312,132,114,98,83,91,96,89,83,69,66,61,62,64,62,53,81,1766,0,521,869,347,28,0,186,0,45,551,1,2
9,0,1,1,Jewish,280,737,74,64,55,46,51,54,50,46,39,37,34,34,36,35,30,45,1791,0,532,887,354,16,0,116,0,0,310,1,2
10,0,1,1,Jewish,328,1378,136,164,154,118,89,61,76,96,103,102,79,53,40,37,28,33,1934,0,946,378,567,42,0,295,0,0,567,1,2
11,0,1,1,Jewish,345,908,91,78,68,57,63,66,62,57,48,46,42,43,44,43,37,56,3297,0,810,608,608,1271,0,128,7404,0,381,1,2
12,0,1,1,U_Orthodox,146,761,98,77,84,87,95,60,33,26,22,24,28,30,30,22,15,23,40,0,8,5,3,22,0,157,0,81,202,1,2
13,0,1,1,U_Orthodox,768,3219,528,432,386,338,285,221,172,151,116,95,86,82,77,68,61,112,309,0,0,0,0,309,0,633,407,277,778,1,2
14,0,1,1,Jewish,45,189,18,22,21,16,12,8,10,13,14,14,10,7,5,5,3,4,4708,0,940,940,2820,6,0,45,0,0,77,1,2
15,0,1,1,Jewish,461,1755,176,152,131,111,122,129,120,111,93,89,82,83,86,83,71,109,1997,0,586,391,978,40,0,285,0,0,737,1,2
101,0,1,1,U_Orthodox,1340,4167,610,499,446,694,466,268,199,174,134,109,100,94,89,79,70,129,550,0,141,56,84,267,0,1368,0,2784,971,1,2
102,0,1,1,U_Orthodox,7270,14893,1185,929,1011,4848,2892,924,400,319,269,296,347,362,362,272,191,278,1448,81,218,109,136,902,0,2401,0,19394,3388,1,2
103,0,1,1,U_Orthodox,1918,8711,1247,1102,1134,1421,1155,528,294,249,309,415,286,196,145,94,68,62,851,0,215,86,129,421,0,2616,0,1463,2013,1,2
104,0,1,1,U_Orthodox,414,1708,279,228,204,185,154,116,91,80,61,50,45,43,41,36,32,59,84,0,0,0,0,84,0,550,0,293,411,1,2
105,0,1,1,Jewish,407,1683,159,137,118,170,141,118,108,100,84,80,74,74,77,75,64,98,408,0,21,8,12,365,0,731,2069,518,664,1,2
106,0,1,1,U_Orthodox,663,2986,501,410,366,277,250,208,163,143,110,90,82,77,73,64,58,106,431,0,20,8,12,391,0,815,1588,654,727,1,2
107,0,1,1,U_Orthodox,802,1281,100,78,85,427,252,76,33,26,22,25,29,30,30,23,16,23,291,0,12,5,7,265,0,712,747,1550,288,1,2
108,0,1,1,U_Orthodox,513,2312,388,317,283,214,194,161,126,111,85,69,63,60,57,50,45,82,2985,0,1688,562,562,171,0,1126,0,559,563,1,2
109,0,1,1,U_Orthodox,1747,4705,481,376,410,1086,766,324,162,129,109,120,141,147,147,110,77,113,262,0,23,9,13,216,0,994,0,1822,1149,1,2
110,0,1,1,U_Orthodox,1170,3690,544,445,397,600,408,240,177,155,119,97,89,84,80,70,63,115,218,0,20,8,12,177,0,777,0,2493,863,1,2
111,0,1,1,U_Orthodox,1455,4714,598,528,544,1035,717,271,141,119,148,199,137,94,69,45,32,30,465,0,107,42,64,250,0,1250,0,2311,1055,1,2
112,0,1,1,U_Orthodox,2822,9051,1144,1010,1039,2014,1381,515,270,228,283,380,262,179,133,86,62,57,842,0,166,83,166,425,0,2168,0,3059,2020,1,2
113,0,1,1,U_Orthodox,1719,4930,529,415,451,1030,766,350,178,142,120,132,155,161,162,121,85,124,752,0,132,52,79,488,0,944,2008,2270,1225,1,2
201,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,187,563,187,0,0,0,0,0,0,1,2
202,0,1,1,Arab,182,852,76,68,68,68,59,51,51,59,51,51,51,34,34,34,25,68,1413,0,493,246,493,179,0,1255,0,0,217,1,2
203,0,1,1,Arab,434,2047,184,163,163,163,143,122,122,143,122,122,122,81,81,81,61,163,2660,389,1167,518,518,65,0,459,0,0,521,1,2
204,0,1,1,Arab,489,2309,207,184,184,184,161,138,138,161,138,138,138,92,92,92,69,184,2494,360,1082,481,481,89,0,623,0,0,588,1,2
205,0,1,1,Arab,378,1803,162,144,144,144,126,108,108,126,108,108,108,72,72,72,54,144,2797,0,1574,524,524,173,0,1213,0,0,459,1,2
206,0,1,1,Arab,176,840,75,67,67,67,58,50,50,58,50,50,50,33,33,33,25,67,2227,0,1279,426,426,96,0,674,0,0,214,1,2
207,0,1,1,Arab,176,825,74,66,66,66,57,49,49,57,49,49,49,33,33,33,24,66,13,0,0,0,0,13,0,94,0,0,210,1,2
208,0,1,1,Arab,112,530,47,42,42,42,37,31,31,37,31,31,31,21,21,21,15,42,41,0,0,0,0,41,0,287,0,0,135,1,2
209,0,1,1,Arab,165,770,69,61,61,61,53,46,46,53,46,46,46,30,30,30,23,61,1691,0,1008,168,504,11,0,83,0,0,196,1,2
301,0,1,1,Arab,5403,23837,2346,2112,2112,2202,1918,1646,1642,1642,1408,1408,1173,938,938,704,704,938,4029,0,2134,656,492,744,0,5110,0,516,6158,1,2
302,0,1,1,Jewish,1758,3713,254,306,288,984,515,150,141,179,192,191,148,99,75,68,53,62,890,0,360,110,83,335,0,1320,0,3539,1056,1,2
