TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed,slope,urban
1101,0,1,1,Arab,2293,9471,861,861,861,861,861,765,669,574,574,574,478,382,287,287,191,382,1100,137,275,137,137,412,0,2885,0,0,2515,1,2
1102,0,1,1,Arab,1104,4641,421,421,421,421,421,375,328,281,281,281,234,187,140,140,93,187,2977,564,846,1128,282,156,0,1093,0,0,1232,1,2
1103,0,1,1,Arab,1278,5303,482,482,482,482,482,428,374,321,321,321,267,214,160,160,107,214,587,76,153,76,76,204,0,1429,0,0,1408,1,2
1104,0,1,1,Arab,1518,6221,565,565,565,565,565,502,439,377,377,377,314,251,188,188,125,251,687,91,182,91,91,232,0,1624,0,0,1651,1,2
1201,0,1,1,Arab,3879,16066,1445,1445,1445,1445,1285,1285,1124,963,963,963,803,642,481,481,481,803,1901,116,581,232,232,737,0,5162,0,0,4201,1,2
1202,0,1,1,Arab,1085,4583,412,412,412,412,366,366,320,275,275,275,229,183,137,137,137,229,430,32,195,48,48,105,0,735,0,0,1198,1,2
1203,0,1,1,Arab,828,3493,314,314,314,314,279,279,244,209,209,209,174,139,104,104,104,174,370,24,149,37,37,122,0,855,0,0,913,1,2
1204,0,1,1,Arab,1862,7826,704,704,704,704,626,626,547,469,469,469,391,313,234,234,234,391,876,55,335,83,83,318,0,2226,0,0,2046,1,2
1205,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1206,0,1,1,Arab,1902,7928,713,713,713,713,634,634,554,475,475,475,396,317,237,237,237,396,2380,210,841,420,630,277,0,1940,0,0,2073,1,2
1207,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1301,0,1,1,Arab,1043,4695,422,422,375,375,375,328,328,281,281,281,234,234,187,140,140,281,120,0,0,0,0,120,0,844,0,0,1245,1,2
1302,0,1,1,Arab,929,4183,376,376,334,334,334,292,292,250,250,250,209,209,167,125,125,250,168,0,0,0,0,168,0,1160,0,44,1109,1,2
1303,0,1,1,Arab,912,4106,369,369,328,328,328,287,287,246,246,246,205,205,164,123,123,246,2542,366,732,488,854,100,0,705,0,0,1089,1,2
1304,0,1,1,Arab,917,4129,371,371,330,330,330,289,289,247,247,247,206,206,165,123,123,247,650,0,271,90,90,197,0,1365,0,148,1095,1,2
1305,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,76,153,536,0,0,0,0,0,0,1,2
1306,0,1,1,Arab,854,3847,346,346,307,307,307,269,269,230,230,230,192,192,153,115,115,230,1041,96,578,192,96,78,0,547,0,0,1020,1,2
1401,0,1,1,Jewish,1616,5656,569,491,425,359,395,415,386,359,300,287,266,267,277,268,231,351,437,0,226,64,32,114,0,800,0,0,2383,1,2
1402,0,1,1,Jewish,1808,6331,637,550,475,402,442,465,433,402,336,321,298,299,310,300,259,393,500,0,217,72,72,138,0,971,0,0,2667,1,2
1403,0,1,1,Jewish,779,2729,274,237,205,173,190,200,186,173,145,138,128,129,133,129,111,169,224,0,93,31,31,68,0,479,0,0,1150,1,2
1404,0,1,1,Jewish,282,990,99,86,74,62,69,72,67,62,52,50,46,46,48,47,40,61,260,0,186,23,23,27,0,189,0,0,417,1,2
1405,0,1,1,Jewish,600,2100,211,182,157,133,146,154,143,133,111,106,99,99,102,99,86,130,14065,0,0,11232,2808,24,0,169,0,0,884,1,2
2001,0,1,1,Jewish,235,825,83,71,62,52,57,60,56,52,43,41,38,39,40,39,33,51,68,0,23,23,0,20,0,146,0,0,347,1,2
2101,0,1,1,Arab,2644,12861,1169,1169,1169,1169,1169,1039,909,779,779,779,649,519,389,389,259,519,1204,0,436,198,158,411,0,2878,0,0,3415,1,2
2102,0,1,1,Arab,2029,9133,830,830,830,830,738,738,645,553,553,553,461,369,276,276,276,369,999,0,334,152,121,390,0,2733,0,0,2411,1,2
2103,0,1,1,Arab,1629,7282,662,662,662,662,588,588,514,441,441,441,367,294,220,220,220,294,672,0,268,122,97,184,0,1288,0,0,1922,1,2
2201,0,1,1,Arab,1857,7546,686,686,686,686,609,609,533,457,457,457,381,304,228,228,228,304,968,0,306,139,111,411,0,2878,0,0,1992,1,2
2202,0,1,1,Arab,2201,9157,832,832,832,832,740,740,647,555,555,555,462,370,277,277,277,370,944,0,363,165,132,283,0,1984,0,0,2418,1,2
2203,0,1,1,Arab,1740,7190,653,653,653,653,581,581,508,435,435,435,363,290,217,217,217,290,711,0,287,130,104,189,0,1326,0,0,1898,1,2
2301,0,1,1,Arab,1893,7945,701,701,701,701,701,623,545,467,467,467,389,389,233,233,233,389,819,0,312,142,113,251,0,1761,0,0,2089,1,2
2302,0,1,1,Arab,2284,9965,879,879,879,879,879,781,683,586,586,586,488,488,293,293,293,488,858,34,376,137,137,173,0,1215,0,0,2621,1,2
2303,0,1,1,Arab,3619,15333,1352,1352,1352,1352,1352,1202,1052,901,901,901,751,751,450,450,450,751,1475,54,597,217,217,389,0,2724,0,0,4032,1,2
2401,0,1,1,Arab,2324,11641,1058,1058,1058,1058,1058,940,823,705,705,705,587,470,352,352,235,470,1024,34,383,139,139,326,0,2288,0,0,3091,1,2
2402,0,1,1,Arab,5942,27629,2511,2511,2511,2511,2511,2232,1953,1674,1674,1674,1395,1116,837,837,558,1116,2178,89,980,356,356,395,0,2771,0,0,7336,1,2
2403,0,1,1,Arab,2043,10411,946,946,946,946,946,841,736,631,631,631,525,420,315,315,210,420,951,30,337,122,122,338,0,2368,0,0,2764,1,2
2404,0,1,1,Arab,2459,10995,989,989,989,989,989,879,769,769,659,659,549,439,329,329,219,439,1080,36,405,147,147,342,0,2400,0,0,2947,1,2
2501,0,1,1,Arab,3843,17115,1540,1540,1540,1540,1540,1369,1198,1198,1026,1026,855,684,513,513,342,684,1802,69,764,277,277,412,0,2888,0,0,4588,1,2
2502,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2504,0,1,1,Arab,2138,9074,816,816,816,725,725,725,635,544,544,544,544,362,272,272,272,453,3883,171,1891,687,687,444,0,3108,0,0,2405,1,2
2505,0,1,1,Arab,1470,6514,586,586,586,586,586,521,456,456,390,390,325,260,195,195,130,260,1099,22,242,88,88,658,0,4611,0,0,1746,1,2
3001,0,1,1,Jewish,1467,5136,517,446,386,326,359,377,351,326,273,261,242,243,251,243,210,319,4251,208,1250,2292,416,83,0,584,0,0,2164,1,2
3002,0,1,1,Jewish,859,3008,302,261,226,191,210,221,205,191,160,152,141,142,147,142,123,186,3764,370,1110,1850,370,62,0,438,0,0,1267,1,2
3003,0,1,1,Jewish,2176,8818,863,1042,979,818,599,392,481,610,653,651,505,336,256,234,181,211,7000,671,2685,2685,671,286,0,1929,0,345,3596,1,2
3004,0,1,1,Jewish,1620,4318,380,328,283,598,428,296,258,240,200,192,178,178,185,179,154,234,7337,1811,1811,2898,724,90,0,432,0,670,1591,1,2
3005,0,1,1,Jewish,519,1818,183,158,136,115,127,133,124,115,96,92,85,86,89,86,74,113,4116,155,933,1867,155,1004,0,191,8727,0,766,1,2
3006,0,1,1,Jewish,1076,3766,379,327,283,239,263,276,257,239,200,191,177,178,184,178,154,234,4108,0,1207,2414,402,84,0,418,146,0,1587,1,2
3101,0,1,1,Jewish,3289,10533,1021,881,762,904,828,758,693,645,539,515,478,480,496,481,415,630,220,0,0,0,0,220,0,1396,0,400,4272,1,2
3102,0,1,1,Jewish,1830,7686,761,918,863,661,498,345,424,538,576,574,446,297,226,206,159,186,632,0,183,91,91,266,0,1863,0,0,3171,1,2
3103,0,1,1,Jewish,817,3433,339,410,385,295,222,154,189,240,257,256,199,132,101,92,71,83,543,0,220,154,66,103,0,721,0,0,1416,1,2
3104,0,1,1,Jewish,1382,4787,482,416,359,304,334,352,327,304,254,243,225,226,234,227,196,297,390,0,138,96,41,113,0,794,0,930,2017,1,2
3105,0,1,1,Jewish,393,1362,137,118,102,86,95,100,93,86,72,69,64,64,66,64,55,84,38,0,0,0,0,38,0,266,0,0,573,1,2
3106,0,1,1,Jewish,757,2539,255,220,190,161,177,186,173,161,135,129,119,120,124,120,104,157,1538,0,741,518,222,55,0,390,0,0,1070,1,2
3107,0,1,1,Jewish,827,2776,279,241,208,176,194,204,189,176,147,141,130,131,136,131,113,172,58,0,0,0,0,58,0,406,0,0,1169,1,2
3108,0,1,1,Jewish,981,3292,331,286,247,209,230,242,225,209,175,167,155,155,161,156,134,204,2274,0,1074,752,322,124,0,869,0,0,1387,1,2
3109,0,1,1,Jewish,586,1347,99,91,81,69,78,85,79,78,70,69,60,57,64,74,86,199,78,0,0,0,0,78,0,550,0,0,535,1,2
3110,0,1,1,Jewish,322,740,54,50,44,38,42,46,43,43,38,38,33,31,35,41,47,109,79,0,12,25,25,15,0,105,0,0,294,1,2
3111,0,1,1,Jewish,494,1137,83,77,68,58,65,72,67,66,59,58,51,48,54,63,73,168,122,0,69,9,19,24,0,168,0,0,452,1,2
3112,0,1,1,Jewish,1724,3966,291,269,240,204,229,251,233,232,207,205,179,167,189,220,255,588,631,0,137,137,274,83,0,583,0,0,1576,1,2
3113,0,1,1,Jewish,984,4132,409,494,464,355,268,185,228,289,309,308,239,159,121,110,85,100,590,0,240,120,120,108,0,758,0,0,1705,1,2
3201,0,1,1,Jewish,1742,7809,786,678,587,496,546,574,534,496,415,396,368,369,382,370,319,485,513,0,174,104,69,165,0,1157,0,0,3290,1,2
3202,0,1,1,Jewish,2477,8672,873,753,651,551,606,637,593,551,461,440,409,410,424,411,355,538,659,0,247,123,123,163,0,1144,0,0,3654,1,2
3203,0,1,1,Jewish,1607,6494,654,564,488,412,454,477,444,413,345,330,306,307,318,308,266,403,458,0,160,80,80,136,0,957,0,0,2736,1,2
3204,0,1,1,Jewish,1402,5878,591,511,441,373,411,432,402,373,312,298,277,278,288,279,240,365,431,0,140,70,70,151,0,1057,0,0,2476,1,2
3205,0,1,1,Jewish,822,3653,367,317,274,232,255,268,249,232,194,185,172,173,179,173,149,227,244,0,106,32,24,80,0,560,0,0,1539,1,2
3206,0,1,1,Jewish,353,812,59,55,49,41,47,51,47,47,42,42,36,34,38,45,52,120,143,0,49,7,14,72,0,116,343,0,323,1,2
3207,0,1,1,Jewish,647,2877,289,250,216,182,201,211,196,183,153,146,135,136,140,136,117,178,204,0,64,25,38,74,0,505,0,130,1212,1,2
3301,0,1,1,Jewish,2229,5558,235,277,355,1078,812,355,207,172,209,283,337,343,317,232,144,193,494,0,118,59,59,256,0,1288,0,2007,2078,1,2
3302,0,1,1,Jewish,1346,5115,266,314,402,450,531,384,234,195,236,321,382,389,359,263,163,219,481,0,134,67,67,212,0,1484,0,0,2352,1,2
3303,0,1,1,Jewish,1466,5572,290,342,438,490,579,418,255,212,257,350,416,423,391,286,178,239,513,0,146,73,73,220,0,1540,0,0,2562,1,2
3304,0,1,1,Jewish,1410,5358,279,329,421,471,556,402,246,204,247,336,400,407,376,275,171,229,549,0,141,56,84,267,0,1854,0,59,2464,1,2
