TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed,slope,urban
1,0,1,1,Jewish,1227,5032,506,437,378,319,351,370,344,320,267,255,237,238,246,238,206,312,3774,0,1446,1446,723,158,0,793,273,0,2120,1,2
2,0,1,1,Jewish,811,2004,84,99,127,397,285,134,74,61,74,101,121,123,113,83,51,69,1762,0,679,679,339,64,0,290,0,525,744,1,2
3,0,1,1,Jewish,589,1309,36,43,55,61,436,295,32,26,32,44,52,53,49,36,22,30,4814,0,1918,1438,1438,18,0,129,0,0,587,1,2
4,0,1,1,Jewish,513,1180,86,80,71,60,68,74,69,69,61,61,53,49,56,65,75,175,5225,0,3121,1560,520,22,0,156,0,0,469,1,2
5,0,1,1,Jewish,732,3077,304,367,345,265,199,138,170,215,230,229,178,118,90,82,63,74,3464,0,1340,1340,670,113,0,794,0,0,1269,1,2
6,0,1,1,Jewish,317,730,53,49,44,37,42,46,43,42,38,37,32,30,34,40,46,108,1456,0,576,576,288,14,0,98,0,0,290,1,2
7,0,1,1,Jewish,767,2918,152,179,229,256,303,219,133,111,134,183,218,221,205,150,93,125,3048,0,883,1471,588,105,0,736,0,0,1342,1,2
8,0,1,1,Jewish,403,1655,166,143,124,105,115,121,113,105,88,84,78,78,81,78,67,102,1932,0,568,947,378,37,0,247,0,57,697,1,2
9,0,1,1,Jewish,686,2881,285,344,323,248,186,129,159,201,215,215,167,111,84,77,59,69,2006,0,580,967,386,71,0,500,0,0,1188,1,2
10,0,1,1,Jewish,345,1451,143,173,163,125,94,65,80,101,108,108,84,56,42,38,30,35,2112,0,1031,412,618,50,0,352,0,0,599,1,2
11,0,1,1,Jewish,410,1201,121,104,90,76,84,88,82,76,63,61,56,56,58,57,49,74,3857,0,883,662,662,1648,0,179,9457,0,506,1,2
12,0,1,1,U_Orthodox,146,805,104,81,88,92,101,64,35,28,23,26,30,31,31,23,16,24,44,0,9,5,3,25,0,180,0,86,215,1,2
13,0,1,1,U_Orthodox,804,4036,511,400,436,510,522,316,172,137,116,127,149,156,156,117,82,120,360,0,0,0,0,360,0,844,517,423,1069,1,2
14,0,1,1,Jewish,67,256,13,15,20,22,26,19,11,9,11,16,19,19,18,13,8,11,5132,0,1024,1024,3074,7,0,55,0,0,117,1,2
15,0,1,1,Jewish,487,1998,201,173,150,127,139,146,136,127,106,101,94,94,97,94,81,124,2180,0,639,426,1066,48,0,337,0,0,842,1,2
101,0,1,1,U_Orthodox,1518,5331,603,472,514,984,788,388,203,162,137,150,176,184,184,138,97,141,607,0,148,59,88,310,0,1539,0,3507,1353,1,2
102,0,1,1,U_Orthodox,8820,17226,1294,1014,1104,5931,3450,1042,437,348,294,323,379,395,396,298,209,304,1646,85,227,113,142,1078,0,2614,0,24430,3874,1,2
103,0,1,1,U_Orthodox,2152,7963,919,720,784,1386,1153,593,310,247,208,229,269,281,281,211,148,216,883,0,225,90,135,433,0,2616,0,1843,2039,1,2
104,0,1,1,U_Orthodox,445,2193,276,216,235,284,286,169,93,74,62,69,81,84,84,63,44,65,98,0,0,0,0,98,0,637,0,369,579,1,2
105,0,1,1,Jewish,437,1823,170,147,127,196,157,127,115,107,90,86,79,80,82,80,69,105,516,0,22,9,13,471,0,749,2625,652,713,1,2
106,0,1,1,U_Orthodox,698,3840,497,389,424,440,483,305,167,133,112,124,145,151,152,114,80,116,547,0,21,8,12,504,0,967,2076,824,1025,1,2
107,0,1,1,U_Orthodox,950,1548,117,92,100,530,309,90,39,31,26,29,34,35,35,27,19,27,348,0,13,5,8,321,0,738,977,1952,347,1,2
108,0,1,1,U_Orthodox,534,2937,380,297,324,336,369,233,128,102,86,94,111,116,116,87,61,89,3257,0,1840,613,613,189,0,1238,0,704,784,1,2
109,0,1,1,U_Orthodox,2039,5374,534,418,456,1305,896,364,180,143,121,133,156,163,163,123,86,125,296,0,24,9,14,247,0,1080,0,2295,1306,1,2
110,0,1,1,U_Orthodox,1308,4646,528,413,450,845,684,342,178,142,119,131,154,161,161,121,85,124,264,0,21,8,13,221,0,966,0,3140,1183,1,2
111,0,1,1,U_Orthodox,1700,4460,436,342,372,1107,754,304,147,117,99,109,128,133,133,100,70,102,492,0,111,44,66,269,0,1250,0,2912,1081,1,2
112,0,1,1,U_Orthodox,3300,8567,833,653,711,2158,1454,577,281,224,189,208,244,254,254,191,134,196,887,0,172,86,172,455,0,2168,0,3853,2070,1,2
113,0,1,1,U_Orthodox,2150,6468,700,548,597,1328,997,461,236,188,159,175,205,214,214,161,113,164,985,0,164,65,98,656,0,1212,2626,2860,1618,1,2
201,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,0,209,627,209,0,0,0,0,0,0,1,2
202,0,1,1,Arab,252,1170,93,93,93,93,81,81,70,58,58,70,58,58,70,46,46,93,1555,0,550,275,550,179,0,1255,0,0,302,1,2
203,0,1,1,Arab,566,2639,211,211,211,211,184,184,158,131,131,158,131,131,158,105,105,211,2961,433,1301,578,578,68,0,482,0,0,683,1,2
204,0,1,1,Arab,613,2868,229,229,229,229,200,200,172,143,143,172,143,143,172,114,114,229,2773,402,1206,536,536,92,0,647,0,0,742,1,2
205,0,1,1,Arab,422,2001,160,160,160,160,140,140,120,100,100,120,100,100,120,80,80,160,3098,0,1754,584,584,173,0,1215,0,0,517,1,2
206,0,1,1,Arab,200,947,75,75,75,75,66,66,56,47,47,56,47,47,56,37,37,75,2472,0,1425,475,475,96,0,675,0,0,245,1,2
207,0,1,1,Arab,247,1146,91,91,91,91,80,80,68,57,57,68,57,57,68,45,45,91,15,0,0,0,0,15,0,105,0,0,296,1,2
208,0,1,1,Arab,144,676,54,54,54,54,47,47,40,33,33,40,33,33,40,27,27,54,41,0,0,0,0,41,0,293,0,0,174,1,2
209,0,1,1,Arab,243,1123,89,89,89,89,78,78,67,56,56,67,56,56,67,44,44,89,1904,0,1134,189,567,13,0,95,0,0,290,1,2
301,0,1,1,Arab,5438,23872,2154,2154,1915,2029,1967,1681,1675,1436,1436,1436,1197,1197,957,718,718,1197,4232,0,2263,696,522,749,0,5117,0,650,6346,1,2
302,0,1,1,Jewish,2066,3805,122,145,185,1169,684,221,108,90,109,148,176,179,166,121,75,101,981,0,394,121,91,373,0,1323,0,4459,1085,1,2
303,0,1,1,Arab,658,2770,215,215,215,227,203,188,161,161,161,161,161,134,134,107,107,215,563,0,328,101,75,58,0,371,0,956,719,1,2
304,0,1,1,Arab,1207,5152,401,401,401,413,367,354,301,301,251,301,301,251,251,251,200,401,1139,0,587,180,135,235,0,1519,0,790,1318,1,2
401,0,1,1,Jewish,317,317,0,0,0,210,96,10,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,481,0,1,2
402,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
403,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
404,0,1,1,Jewish,360,829,60,56,50,42,47,52,48,48,43,42,37,35,39,46,53,122,17,0,0,0,0,17,0,122,0,0,329,1,2
405,0,1,1,Jewish,233,537,39,36,32,27,31,34,31,31,28,27,24,22,25,29,34,79,1732,0,860,344,516,11,0,79,0,0,213,1,2
406,0,1,1,Jewish,375,863,63,58,52,44,49,54,50,50,45,44,38,36,41,47,55,127,100,0,56,11,7,25,0,125,0,221,342,1,2
407,0,1,1,Jewish,170,392,28,26,23,20,22,24,23,22,20,20,17,16,18,21,25,58,7,0,0,0,0,7,0,55,0,0,155,1,2
408,0,1,1,Jewish,260,598,43,40,36,30,34,37,35,35,31,30,27,25,28,33,38,88,768,0,461,106,142,57,0,87,80,0,237,1,2
409,0,1,1,U_Orthodox,266,1197,200,164,146,111,100,83,65,57,44,36,33,31,29,26,23,42,6168,0,4903,612,612,39,0,275,0,105,292,1,2
501,0,1,1,Jewish,844,1943,142,132,117,100,112,123,114,113,101,100,87,82,92,108,125,288,418,0,113,189,75,39,0,277,0,0,772,1,2
502,0,1,1,Jewish,570,1311,96,89,79,67,75,83,77,76,68,67,59,55,62,72,84,194,431,0,161,161,80,26,0,186,0,0,521,1,2
503,0,1,1,Jewish,940,2162,158,147,131,111,125,137,127,126,113,111,97,91,103,120,139,320,698,0,291,175,116,114,0,801,0,0,859,1,2
504,0,1,1,Jewish,234,538,39,36,32,27,31,34,31,31,28,27,24,22,25,29,34,79,210,0,19,79,99,11,0,79,0,0,213,1,2
505,0,1,1,Jewish,1170,2692,197,183,163,138,155,170,158,157,140,139,121,113,128,149,173,399,288,0,93,93,46,54,0,378,0,0,1069,1,2
506,0,1,1,Jewish,597,1374,100,93,83,70,79,87,81,80,71,71,62,58,65,76,88,203,493,0,139,139,69,143,0,1006,0,0,546,1,2
507,0,1,1,Jewish,581,1336,98,90,80,68,77,84,78,78,69,69,60,56,63,74,85,198,266,0,71,95,71,28,0,196,0,0,531,1,2
508,0,1,1,Jewish,921,5066,510,440,380,322,354,372,346,322,269,257,239,240,248,240,207,314,366,0,96,72,72,125,0,860,0,288,2134,1,2
509,0,1,1,Jewish,535,903,47,44,39,202,113,49,38,38,34,33,29,27,31,36,41,96,365,0,39,52,39,234,0,1495,0,626,258,1,2
510,0,1,1,Jewish,117,270,19,18,16,13,15,17,15,15,14,13,12,11,12,15,17,40,2098,0,889,711,177,320,0,38,1413,0,107,1,2
511,0,1,1,Jewish,1460,3358,246,228,203,173,194,212,198,196,175,173,151,142,160,186,216,498,699,0,252,252,126,68,0,480,0,0,1334,1,2
601,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
602,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6882,0,0,4818,2064,0,0,0,0,0,0,1,2
603,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,0,0,479,479,0,0,0,0,0,0,1,2
604,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,48,72,362,0,0,0,0,0,0,1,2
605,0,1,1,Jewish,974,2241,164,152,135,115,129,142,132,131,117,115,101,94,107,124,144,332,1374,0,77,38,77,1179,0,295,807,0,890,1,2
606,0,1,1,Jewish,645,967,0,0,0,0,580,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,1,2
607,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4816,0,240,3371,1204,0,0,0,0,0,0,1,2
608,0,1,1,Jewish,34,125,12,10,9,7,8,9,8,8,6,6,5,5,6,5,5,7,6206,0,148,2083,743,3230,0,2631,11521,0,53,1,2
609,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11239,0,561,7867,2809,0,0,0,0,0,0,1,2
610,0,1,1,Jewish,160,672,66,80,75,57,43,30,37,47,50,50,39,25,19,18,13,16,7816,0,779,5457,1559,20,0,141,0,0,277,1,2
611,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3217,0,965,1930,321,0,0,0,0,0,0,1,2
701,0,1,1,Jewish,1000,4200,415,502,472,361,272,188,232,294,314,313,243,162,123,112,87,101,6735,0,658,5270,658,147,0,1029,0,0,1732,1,2
702,0,1,1,Jewish,1185,4860,489,422,365,308,339,357,332,309,258,247,229,230,238,230,199,302,22745,0,4525,11314,6788,116,0,815,0,0,2047,1,2
703,0,1,1,Jewish,200,840,83,100,94,72,54,37,46,58,62,62,48,32,24,22,17,20,10994,0,4386,4934,1644,28,0,199,0,0,346,1,2
704,0,1,1,Jewish,253,1065,105,127,119,91,69,47,58,74,79,79,61,41,31,28,22,25,5437,0,810,3783,810,31,0,223,0,0,439,1,2
705,0,1,1,Jewish,75,315,31,37,35,27,20,14,17,22,23,23,18,12,9,8,6,7,1204,0,956,239,0,8,0,61,0,0,129,1,2
706,0,1,1,Jewish,129,543,53,65,61,46,35,24,30,38,40,40,31,21,16,14,11,13,6942,0,4848,2077,0,16,0,114,0,0,224,1,2
707,0,1,1,U_Orthodox,101,556,72,56,61,63,70,44,24,19,16,18,21,22,22,16,11,16,2874,0,1139,1139,569,26,0,188,0,59,148,1,2
708,0,1,1,Jewish,370,1554,153,185,174,133,100,69,85,108,116,116,90,60,45,41,32,37,4709,0,2331,2331,0,46,0,326,0,0,641,1,2
801,0,1,1,Jewish,1155,4682,469,405,350,309,331,342,318,296,248,237,220,220,228,221,191,289,138,0,0,0,0,138,0,789,0,1445,1965,1,2
802,0,1,1,Jewish,829,2698,248,214,185,307,240,189,169,157,131,125,116,117,121,117,101,153,86,0,0,0,0,86,0,422,0,845,1041,1,2
803,0,1,1,U_Orthodox,317,1427,239,196,175,132,119,99,78,68,52,43,39,37,35,31,27,50,45,0,0,0,0,45,0,321,0,125,349,1,2
804,0,1,1,Jewish,211,486,35,33,29,25,28,30,28,28,25,25,21,20,23,27,31,72,263,0,0,0,0,263,0,68,1314,0,193,1,2
805,0,1,1,U_Orthodox,376,2068,267,209,228,237,260,164,90,72,60,66,78,81,81,61,43,62,343,0,106,106,53,77,0,448,0,278,552,1,2
806,0,1,1,Jewish,820,2353,236,204,176,149,164,173,160,149,125,119,111,111,115,111,96,146,440,0,0,0,0,440,0,525,424,0,991,1,2
807,0,1,1,Jewish,624,1831,184,159,137,116,128,134,125,116,97,93,86,86,89,86,75,113,44,0,0,0,0,44,0,310,0,0,771,1,2
808,0,1,1,Jewish,1098,3055,307,265,229,194,213,224,208,194,162,155,144,144,149,145,125,189,71,0,0,0,0,71,0,501,0,0,1287,1,2
809,0,1,1,Jewish,756,3102,312,269,233,197,216,228,212,197,164,157,146,146,151,147,127,192,2052,0,987,592,395,77,0,520,0,57,1307,1,2
810,0,1,1,Jewish,1213,4974,500,432,373,316,347,365,340,316,264,252,234,235,243,236,203,309,2915,0,2234,279,279,122,0,855,0,0,2095,1,2
901,0,1,1,U_Orthodox,1336,7350,951,745,811,843,924,584,321,256,216,237,279,290,291,219,154,223,833,0,33,20,13,765,0,2615,2259,788,1963,1,2
902,0,1,1,U_Orthodox,471,2595,335,263,286,297,326,206,113,90,76,83,98,102,102,77,54,79,3494,0,2040,680,680,93,0,548,0,364,693,1,2
903,0,1,1,U_Orthodox,2269,8200,938,735,800,1463,1200,607,316,252,213,234,275,286,286,215,151,220,7340,0,4552,1400,1050,336,0,1903,0,1671,2093,1,2
904,0,1,1,U_Orthodox,539,3504,544,481,495,422,414,220,128,108,135,181,124,85,63,41,29,27,3095,0,890,1633,445,125,0,858,0,338,833,1,2
905,0,1,1,U_Orthodox,780,2444,266,208,227,491,376,176,89,71,60,66,78,81,81,61,43,62,473,0,23,31,23,395,0,2339,225,460,613,1,2
906,0,1,1,U_Orthodox,872,4717,608,476,519,552,596,373,205,163,138,152,178,185,186,140,98,143,470,0,145,58,87,178,0,1124,0,1497,1257,1,2
907,0,1,1,U_Orthodox,1159,5969,760,596,649,736,767,467,256,204,172,190,223,232,232,175,123,179,706,0,231,77,77,320,0,1864,0,2353,1583,1,2
908,0,1,1,U_Orthodox,999,5496,711,557,607,630,691,437,240,191,161,177,208,217,217,163,115,167,538,0,210,70,70,187,0,1277,0,589,1467,1,2
1001,0,1,1,Jewish,346,1212,122,105,91,77,84,89,82,77,64,61,57,57,59,57,49,75,4822,0,239,719,3837,25,0,179,0,0,510,1,2
1002,0,1,1,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5104,0,0,0,0,5104,0,0,26321,0,0,1,2
1003,0,1,1,Jewish,831,2909,292,252,218,184,203,213,198,185,154,147,137,137,142,138,119,180,216,0,83,41,41,50,0,350,0,0,1225,1,2
1004,0,1,1,Jewish,4779,8547,242,209,181,153,3849,2631,165,153,128,122,113,114,118,114,98,149,186,0,13,96,27,48,0,337,0,0,3688,1,2
